id,feature_a,feature_b,target
0,5.0,1,class_A
1,5.5,2,class_B
2,6.0,3,class_C
3,6.5,4,class_A
4,7.0,5,class_B
5,7.5,6,class_C
6,8.0,7,class_A
7,8.5,1,class_B
8,9.0,2,class_C
9,9.5,3,class_A
10,10.0,4,class_B
11,10.5,5,class_C
12,11.0,6,class_A
13,11.5,7,class_B
14,12.0,1,class_C
15,12.5,2,class_A
16,13.0,3,class_B
17,13.5,4,class_C
18,14.0,5,class_A
19,14.5,6,class_B
20,15.0,7,class_C
21,15.5,1,class_A
22,16.0,2,class_B
23,16.5,3,class_C
24,17.0,4,class_A
25,17.5,5,class_B
26,18.0,6,class_C
27,18.5,7,class_A
28,19.0,1,class_B
29,19.5,2,class_C
30,20.0,3,class_A
31,20.5,4,class_B
32,21.0,5,class_C
33,21.5,6,class_A
34,22.0,7,class_B
35,22.5,1,class_C
36,23.0,2,class_A
37,23.5,3,class_B
38,24.0,4,class_C
39,24.5,5,class_A
40,25.0,6,class_B
41,25.5,7,class_C
42,26.0,1,class_A
43,26.5,2,class_B
44,27.0,3,class_C
45,27.5,4,class_A
46,28.0,5,class_B
47,28.5,6,class_C
48,29.0,7,class_A
49,29.5,1,class_B
50,30.0,2,class_C
51,30.5,3,class_A
52,31.0,4,class_B
53,31.5,5,class_C
54,32.0,6,class_A
55,32.5,7,class_B
56,33.0,1,class_C
57,33.5,2,class_A
58,34.0,3,class_B
59,34.5,4,class_C
60,35.0,5,class_A
61,35.5,6,class_B
62,36.0,7,class_C
63,36.5,1,class_A
64,37.0,2,class_B
65,37.5,3,class_C
66,38.0,4,class_A
67,38.5,5,class_B
68,39.0,6,class_C
69,39.5,7,class_A
70,40.0,1,class_B
71,40.5,2,class_C
72,41.0,3,class_A
73,41.5,4,class_B
74,42.0,5,class_C
75,42.5,6,class_A
76,43.0,7,class_B
77,43.5,1,class_C
78,44.0,2,class_A
79,44.5,3,class_B
80,45.0,4,class_C
81,45.5,5,class_A
82,46.0,6,class_B
83,46.5,7,class_C
84,47.0,1,class_A
85,47.5,2,class_B
86,48.0,3,class_C
87,48.5,4,class_A
88,49.0,5,class_B
89,49.5,6,class_C
90,50.0,7,class_A
91,50.5,1,class_B
92,51.0,2,class_C
93,51.5,3,class_A
94,52.0,4,class_B
95,52.5,5,class_C
96,53.0,6,class_A
97,53.5,7,class_B
98,54.0,1,class_C
99,54.5,2,class_A
100,55.0,3,class_B
101,55.5,4,class_C
102,56.0,5,class_A
103,56.5,6,class_B
104,57.0,7,class_C
105,57.5,1,class_A
106,58.0,2,class_B
107,58.5,3,class_C
108,59.0,4,class_A
109,59.5,5,class_B
110,60.0,6,class_C
111,60.5,7,class_A
112,61.0,1,class_B
113,61.5,2,class_C
114,62.0,3,class_A
115,62.5,4,class_B
116,63.0,5,class_C
117,63.5,6,class_A
118,64.0,7,class_B
119,64.5,1,class_C
120,65.0,2,class_A
121,65.5,3,class_B
122,66.0,4,class_C
123,66.5,5,class_A
124,67.0,6,class_B
125,67.5,7,class_C
126,68.0,1,class_A
127,68.5,2,class_B
128,69.0,3,class_C
129,69.5,4,class_A
130,70.0,5,class_B
131,70.5,6,class_C
132,71.0,7,class_A
133,71.5,1,class_B
134,72.0,2,class_C
135,72.5,3,class_A
136,73.0,4,class_B
137,73.5,5,class_C
138,74.0,6,class_A
139,74.5,7,class_B
140,75.0,1,class_C
141,75.5,2,class_A
142,76.0,3,class_B
143,76.5,4,class_C
144,77.0,5,class_A
145,77.5,6,class_B
146,78.0,7,class_C
147,78.5,1,class_A
148,79.0,2,class_B
149,79.5,3,class_C
150,80.0,4,class_A
151,80.5,5,class_B
152,81.0,6,class_C
153,81.5,7,class_A
154,82.0,1,class_B
155,82.5,2,class_C
156,83.0,3,class_A
157,83.5,4,class_B
158,84.0,5,class_C
159,84.5,6,class_A
160,85.0,7,class_B
161,85.5,1,class_C
162,86.0,2,class_A
163,86.5,3,class_B
164,87.0,4,class_C
165,87.5,5,class_A
166,88.0,6,class_B
167,88.5,7,class_C
168,89.0,1,class_A
169,89.5,2,class_B
170,90.0,3,class_C
171,90.5,4,class_A
172,91.0,5,class_B
173,91.5,6,class_C
174,92.0,7,class_A
175,92.5,1,class_B
176,93.0,2,class_C
177,93.5,3,class_A
178,94.0,4,class_B
179,94.5,5,class_C
180,95.0,6,class_A
181,95.5,7,class_B
182,96.0,1,class_C
183,96.5,2,class_A
184,97.0,3,class_B
185,97.5,4,class_C
186,98.0,5,class_A
187,98.5,6,class_B
188,99.0,7,class_C
189,99.5,1,class_A
190,100.0,2,class_B
191,100.5,3,class_C
192,101.0,4,class_A
193,101.5,5,class_B
194,102.0,6,class_C
195,102.5,7,class_A
196,103.0,1,class_B
197,103.5,2,class_C
198,104.0,3,class_A
199,104.5,4,class_B
